Name,Source,Link
right-hand-rule.png,https://stackoverflow.com/a/34068511/4915164,https://i.stack.imgur.com/0hxY1.png
cross_product_parallelograms.svg,https://en.wikipedia.org/wiki/Cross_product,https://en.wikipedia.org/wiki/Cross_product#/media/File:Cross_product_parallelogram.svg
right_hand_rule_cross_product.svg,https://en.wikipedia.org/wiki/Cross_product,https://en.wikipedia.org/wiki/Cross_product#/media/File:Right_hand_rule_cross_product.svg
matrix_symmetry.svg,https://en.wikipedia.org/wiki/Symmetric_matrix,https://en.wikipedia.org/wiki/Symmetric_matrix#/media/File:Matrix_symmetry_qtl1.svg
simple_random_sampling.png,https://en.wikipedia.org/wiki/Sampling_(statistics),https://en.wikipedia.org/wiki/Sampling_(statistics)#/media/File:Simple_random_sampling.PNG
normal_distribution_pdf.svg,https://en.wikipedia.org/wiki/Normal_distribution,https://en.wikipedia.org/wiki/Normal_distribution#/media/File:Normal_Distribution_PDF.svg
normal_distribution_cdf.svg,https://en.wikipedia.org/wiki/Normal_distribution,https://en.wikipedia.org/wiki/Normal_distribution#/media/File:Normal_Distribution_CDF.svg
standard_normal_distribution.png,https://en.wikipedia.org/wiki/Statistics,https://en.wikipedia.org/wiki/Statistics#/media/File:Standard_Normal_Distribution.png
empirical_rule_histogram.svg,https://en.wikipedia.org/wiki/68%E2%80%9395%E2%80%9399.7_rule,https://en.wikipedia.org/wiki/68%E2%80%9395%E2%80%9399.7_rule#/media/File:Empirical_rule_histogram.svg
fair_dice_probability_distribution.svg,https://en.wikipedia.org/wiki/Probability_mass_function,https://en.wikipedia.org/wiki/File:Fair_dice_probability_distribution.svg#/media/File:Fair_dice_probability_distribution.svg
discrete_probability_distrib.svg,https://en.wikipedia.org/wiki/Probability_mass_function,https://en.wikipedia.org/wiki/File:Discrete_probability_distrib.svg#/media/File:Discrete_probability_distrib.svg
